policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00009,lats,257,37259296494307,37259321140313,37259607349030,24646006,286208717,310854723,258,58
plas,p00009,lats,259,37258929497396,37258954028379,37259795057593,24530983,841029214,865560197,212,165
plas,p00009,lats,262,37259882346623,37259918898530,37260040439102,36551907,121540572,158092479,342,22
plas,p00009,lats,261,37259812799832,37259838101433,37260071189001,25301601,233087568,258389169,285,41
plas,p00009,lats,263,37259887018683,37259921575097,37260152167725,34556414,230592628,265149042,375,43
plas,p00009,lats,264,37259979609136,37260017728632,37260339344409,38119496,321615777,359735273,297,64
plas,p00009,lats,260,37259997519480,37260021054335,37260344278693,23534855,323224358,346759213,1067,64
plas,p00009,lats,265,37260372614962,37260394404362,37260627567106,21789400,233162744,254952144,200,43
plas,p00009,lats,268,37260393744819,37260425593320,37260679474997,31848501,253881677,285730178,290,50
plas,p00009,lats,267,37260556120375,37260582966998,37260714258391,26846623,131291393,158138016,501,27
plas,p00009,lats,269,37260360878535,37260391675480,37260935061634,30796945,543386154,574183099,364,105
plas,p00009,lats,266,37260396854517,37260427917373,37260935177926,31062856,507260553,538323409,246,100
plas,p00009,lats,274,37260966977946,37260980474807,37261278988714,13496861,298513907,312010768,593,57
plas,p00009,lats,273,37260990769131,37261005510552,37261326476842,14741421,320966290,335707711,641,61
plas,p00009,lats,270,37261096781768,37261120395919,37261431878373,23614151,311482454,335096605,470,61
plas,p00009,lats,272,37261121598474,37261141926267,37261506890084,20327793,364963817,385291610,487,73
plas,p00009,lats,271,37260939739125,37260966862418,37261616678453,27123293,649816035,676939328,160,129
plas,p00009,lats,276,37261619265430,37261629651154,37261988624405,10385724,358973251,369358975,241,70
plas,p00009,lats,279,37261717749288,37261736678983,37262238691392,18929695,502012409,520942104,1057,96
plas,p00009,lats,277,37262017257242,37262044190738,37262293192430,26933496,249001692,275935188,580,50
plas,p00009,lats,275,37261760463463,37261783969494,37262329168183,23506031,545198689,568704720,329,106
plas,p00009,lats,278,37261691699440,37261716553054,37262507495423,24853614,790942369,815795983,287,156
plas,p00009,lats,282,37262507919363,37262532010386,37262728249327,24091023,196238941,220329964,520,39
plas,p00009,lats,283,37262548601575,37262572956058,37262978909097,24354483,405953039,430307522,847,79
plas,p00009,lats,284,37262655622442,37262672506315,37263059103152,16883873,386596837,403480710,785,75
plas,p00009,lats,280,37262702426956,37262718705536,37263059210936,16278580,340505400,356783980,561,66
plas,p00009,lats,281,37262772292864,37262794254715,37263081684782,21961851,287430067,309391918,242,58
plas,p00009,lats,287,37263086233582,37263126152648,37263263601083,39919066,137448435,177367501,723,28
plas,p00009,lats,285,37263153834349,37263174418932,37263378383799,20584583,203964867,224549450,323,40
plas,p00009,lats,288,37263094030690,37263128417447,37263503826816,34386757,375409369,409796126,299,73
plas,p00009,lats,286,37263095241803,37263128429305,37263539441338,33187502,411012033,444199535,361,80
plas,p00009,lats,289,37263328776875,37263354281976,37263602954361,25505101,248672385,274177486,550,52
plas,p00009,lats,291,37263674333583,37263698684628,37263942656290,24351045,243971662,268322707,388,46
plas,p00009,lats,293,37263625596514,37263637194776,37263947319125,11598262,310124349,321722611,369,58
plas,p00009,lats,292,37263949613322,37263971965056,37264070438020,22351734,98472964,120824698,406,21
plas,p00009,lats,290,37263744116973,37263779812861,37264130149990,35695888,350337129,386033017,457,70
plas,p00009,lats,294,37263755069004,37263782275590,37264165710236,27206586,383434646,410641232,374,77
plas,p00009,lats,295,37264420831187,37264443859168,37264560560475,23027981,116701307,139729288,784,24
plas,p00009,lats,297,37264306725924,37264335738811,37264614905931,29012887,279167120,308180007,265,53
plas,p00009,lats,296,37264338922071,37264365599649,37264768230251,26677578,402630602,429308180,552,78
plas,p00009,lats,299,37264285437779,37264313699947,37264773854240,28262168,460154293,488416461,415,85
plas,p00009,lats,298,37264645349679,37264670192992,37264957664547,24843313,287471555,312314868,368,62
plas,p00009,lats,303,37264963267237,37265001326615,37265313880059,38059378,312553444,350612822,804,59
plas,p00009,lats,301,37265048140229,37265074662133,37265419726045,26521904,345063912,371585816,265,68
plas,p00009,lats,302,37265069444569,37265088861633,37265444472693,19417064,355611060,375028124,437,71
plas,p00009,lats,304,37265035537718,37265071820602,37265464264939,36282884,392444337,428727221,324,78
plas,p00009,lats,300,37264970118051,37265003052885,37265510643931,32934834,507591046,540525880,386,98
plas,p00009,lats,308,37265554024491,37265574894211,37265749645145,20869720,174750934,195620654,335,36
plas,p00009,lats,306,37265540122073,37265572126553,37265797210120,32004480,225083567,257088047,228,45
plas,p00009,lats,309,37265512180925,37265536285328,37265954626191,24104403,418340863,442445266,624,80
plas,p00009,lats,305,37265746308408,37265768339564,37265967618276,22031156,199278712,221309868,233,41
plas,p00009,lats,307,37266051972212,37266078853339,37266223778421,26881127,144925082,171806209,463,33
plas,p00009,lats,310,37266346515070,37266379813611,37266484094351,33298541,104280740,137579281,426,20
plas,p00009,lats,313,37266302158758,37266330872518,37266548814426,28713760,217941908,246655668,235,39
plas,p00009,lats,314,37266439452744,37266460193324,37266579056987,20740580,118863663,139604243,428,25
plas,p00009,lats,311,37266396884505,37266418517990,37266593883656,21633485,175365666,196999151,426,35
plas,p00009,lats,312,37266280424295,37266308455369,37267071901325,28031074,763445956,791477030,249,155
plas,p00009,lats,316,37267114568772,37267143399961,37267475595478,28831189,332195517,361026706,1127,62
plas,p00009,lats,315,37267340914609,37267363662782,37267532345871,22748173,168683089,191431262,615,34
plas,p00009,lats,319,37267204373577,37267230602643,37267671652359,26229066,441049716,467278782,778,81
