lineage,workload,iteration,launch_order,call_id,process,op_index,kind,family,gpu_ns,launch_latency_ns,gpu_start_rel_us
base,planner_debate,12,107,planner-final,mir_operator:RMSNormOp,8,kernel,elementwise_binary,1152,7478,867839.5
base,planner_debate,12,108,planner-final,mir_operator:RMSNormOp,8,kernel,elementwise_unary,1248,7081,867858.8
base,planner_debate,12,109,planner-final,mir_operator:RMSNormOp,8,kernel,elementwise_binary,3423,8361,867882.1
base,planner_debate,12,110,planner-final,mir_operator:RMSNormOp,8,kernel,copy,1951,7584,867905.1
base,planner_debate,12,111,planner-final,mir_operator:LinearOp,10,kernel,gemm,14621,13163,868095.4
base,planner_debate,12,112,planner-final,mir_operator:LinearOp,11,kernel,gemm,14590,9217,868210.8
base,planner_debate,12,113,planner-final,mir_operator:LinearOp,12,kernel,gemm,14494,9773,868336.1
base,planner_debate,12,114,planner-final,mir_operator:TransposeOp,14,kernel,copy,12094,11674,868563.2
base,planner_debate,12,115,planner-final,d2h_stage,,memcpy,memcpy,123722,17612,868684.5
base,react_moa_mcts,3,1,react-plan,h2d_stage,,memcpy,memcpy,49848,10781,448391.9
base,react_moa_mcts,3,2,react-plan,weight_init,,kernel,rng_init,3583,13632,448519.6
base,react_moa_mcts,3,3,react-plan,weight_init,,kernel,elementwise_binary,1440,6989,448551.0
base,react_moa_mcts,3,4,react-plan,mir_operator:RMSNormOp,6,kernel,copy,3583,8741,448634.7
base,react_moa_mcts,3,5,react-plan,mir_operator:RMSNormOp,6,kernel,elementwise_unary,2111,6535,448655.2
base,react_moa_mcts,3,6,react-plan,mir_operator:RMSNormOp,6,kernel,reduce,3168,6232,448676.5
base,react_moa_mcts,3,7,react-plan,mir_operator:RMSNormOp,6,kernel,elementwise_binary,1151,6087,448693.2
base,react_moa_mcts,3,8,react-plan,mir_operator:RMSNormOp,6,kernel,elementwise_unary,1216,5949,448710.3
base,react_moa_mcts,3,9,react-plan,mir_operator:RMSNormOp,6,kernel,elementwise_binary,2943,6258,448728.8
base,react_moa_mcts,3,10,react-plan,mir_operator:RMSNormOp,6,kernel,copy,1727,6439,448749.2
base,react_moa_mcts,3,11,react-plan,mir_operator:AddOp,7,kernel,elementwise_binary,1440,8362,448862.7
base,react_moa_mcts,3,12,react-plan,mir_operator:RMSNormOp,8,kernel,copy,3487,8677,448972.1
base,react_moa_mcts,3,13,react-plan,mir_operator:RMSNormOp,8,kernel,elementwise_unary,2111,6265,448991.6
base,react_moa_mcts,3,14,react-plan,mir_operator:RMSNormOp,8,kernel,reduce,3007,6040,449011.7
base,react_moa_mcts,3,15,react-plan,mir_operator:RMSNormOp,8,kernel,elementwise_binary,1120,5756,449026.8
base,react_moa_mcts,3,16,react-plan,mir_operator:RMSNormOp,8,kernel,elementwise_unary,1183,5882,449043.1
base,react_moa_mcts,3,17,react-plan,mir_operator:RMSNormOp,8,kernel,elementwise_binary,2911,5961,449060.4
base,react_moa_mcts,3,18,react-plan,mir_operator:RMSNormOp,8,kernel,copy,1727,6187,449079.9
base,react_moa_mcts,3,19,react-plan,mir_operator:LinearOp,10,memset,memset,416,13925,449232.1
base,react_moa_mcts,3,20,react-plan,mir_operator:LinearOp,10,kernel,gemm,12414,8632,449240.1
base,react_moa_mcts,3,21,react-plan,mir_operator:LinearOp,11,memset,memset,448,6931,449366.7
base,react_moa_mcts,3,22,react-plan,mir_operator:LinearOp,11,kernel,gemm,12446,8051,449374.2
base,react_moa_mcts,3,23,react-plan,mir_operator:LinearOp,12,memset,memset,448,7450,449481.7
base,react_moa_mcts,3,24,react-plan,mir_operator:LinearOp,12,kernel,gemm,12190,8055,449489.1
base,react_moa_mcts,3,25,react-plan,mir_operator:TransposeOp,14,kernel,copy,9342,9641,449678.4
base,react_moa_mcts,3,26,react-plan,d2h_stage,,memcpy,memcpy,61398,13520,449783.5
base,react_moa_mcts,3,27,moa-map0,h2d_stage,,memcpy,memcpy,87762,11622,463293.7
base,react_moa_mcts,3,28,moa-map0,weight_init,,kernel,rng_init,5024,78337,463524.6
base,react_moa_mcts,3,29,moa-map0,weight_init,,kernel,elementwise_binary,1983,44913,463530.5
base,react_moa_mcts,3,30,moa-map0,mir_operator:RMSNormOp,6,kernel,copy,4288,8427,463575.0
base,react_moa_mcts,3,31,moa-map0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,3136,6282,463595.5
base,react_moa_mcts,3,32,moa-map0,mir_operator:RMSNormOp,6,kernel,reduce,3520,6753,463617.9
base,react_moa_mcts,3,33,moa-map0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,1056,6090,463635.0
base,react_moa_mcts,3,34,moa-map0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,1088,5759,463651.6
base,react_moa_mcts,3,35,moa-map0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,3936,6004,463669.7
base,react_moa_mcts,3,36,moa-map0,mir_operator:RMSNormOp,6,kernel,copy,2304,6345,463689.8
base,react_moa_mcts,3,37,moa-map0,mir_operator:AddOp,7,kernel,elementwise_binary,2047,8461,463803.2
base,react_moa_mcts,3,38,moa-map0,mir_operator:RMSNormOp,8,kernel,copy,4479,8644,463904.0
base,react_moa_mcts,3,39,moa-map0,mir_operator:RMSNormOp,8,kernel,elementwise_unary,3072,6128,463924.2
base,react_moa_mcts,3,40,moa-map0,mir_operator:RMSNormOp,8,kernel,reduce,3200,6041,463944.4
base,react_moa_mcts,3,41,moa-map0,mir_operator:RMSNormOp,8,kernel,elementwise_binary,1023,5996,463959.7
base,react_moa_mcts,3,42,moa-map0,mir_operator:RMSNormOp,8,kernel,elementwise_unary,1088,5882,463975.8
base,react_moa_mcts,3,43,moa-map0,mir_operator:RMSNormOp,8,kernel,elementwise_binary,3904,6155,463993.2
base,react_moa_mcts,3,44,moa-map0,mir_operator:RMSNormOp,8,kernel,copy,2304,6253,464012.6
base,react_moa_mcts,3,45,moa-map0,mir_operator:LinearOp,10,kernel,gemm,20156,9269,464134.4
base,react_moa_mcts,3,46,moa-map0,mir_operator:LinearOp,11,kernel,gemm,20157,8481,464239.0
base,react_moa_mcts,3,47,moa-map0,mir_operator:LinearOp,12,kernel,gemm,20157,8664,464348.3
base,react_moa_mcts,3,48,moa-map0,mir_operator:TransposeOp,14,kernel,copy,12350,9863,464538.0
base,react_moa_mcts,3,49,moa-map0,d2h_stage,,memcpy,memcpy,90354,10160,464640.7
base,react_moa_mcts,3,50,moa-map1,h2d_stage,,memcpy,memcpy,85906,11060,478175.7
base,react_moa_mcts,3,51,moa-map1,weight_init,,kernel,rng_init,5055,78158,478422.5
base,react_moa_mcts,3,52,moa-map1,weight_init,,kernel,elementwise_binary,1951,44547,478428.4
base,react_moa_mcts,3,53,moa-map1,mir_operator:RMSNormOp,6,kernel,copy,4383,8489,478471.8
base,react_moa_mcts,3,54,moa-map1,mir_operator:RMSNormOp,6,kernel,elementwise_unary,3104,6663,478493.0
base,react_moa_mcts,3,55,moa-map1,mir_operator:RMSNormOp,6,kernel,reduce,3551,6807,478514.9
base,react_moa_mcts,3,56,moa-map1,mir_operator:RMSNormOp,6,kernel,elementwise_binary,1088,6266,478531.6
base,react_moa_mcts,3,57,moa-map1,mir_operator:RMSNormOp,6,kernel,elementwise_unary,1120,6059,478548.2
base,react_moa_mcts,3,58,moa-map1,mir_operator:RMSNormOp,6,kernel,elementwise_binary,3968,6193,478566.6
base,react_moa_mcts,3,59,moa-map1,mir_operator:RMSNormOp,6,kernel,copy,2272,6257,478586.7
base,react_moa_mcts,3,60,moa-map1,mir_operator:AddOp,7,kernel,elementwise_binary,2112,8652,478707.0
base,react_moa_mcts,3,61,moa-map1,mir_operator:RMSNormOp,8,kernel,copy,4320,8359,478809.9
base,react_moa_mcts,3,62,moa-map1,mir_operator:RMSNormOp,8,kernel,elementwise_unary,3136,6294,478829.1
base,react_moa_mcts,3,63,moa-map1,mir_operator:RMSNormOp,8,kernel,reduce,3232,6491,478849.5
base,react_moa_mcts,3,64,moa-map1,mir_operator:RMSNormOp,8,kernel,elementwise_binary,1024,5941,478864.1
base,react_moa_mcts,3,65,moa-map1,mir_operator:RMSNormOp,8,kernel,elementwise_unary,1056,5911,478880.4
base,react_moa_mcts,3,66,moa-map1,mir_operator:RMSNormOp,8,kernel,elementwise_binary,3904,6301,478898.0
base,react_moa_mcts,3,67,moa-map1,mir_operator:RMSNormOp,8,kernel,copy,2272,5951,478916.8
base,react_moa_mcts,3,68,moa-map1,mir_operator:LinearOp,10,kernel,gemm,20284,9167,479039.3
base,react_moa_mcts,3,69,moa-map1,mir_operator:LinearOp,11,kernel,gemm,20061,7985,479142.4
base,react_moa_mcts,3,70,moa-map1,mir_operator:LinearOp,12,kernel,gemm,20285,8754,479249.2
base,react_moa_mcts,3,71,moa-map1,mir_operator:TransposeOp,14,kernel,copy,12382,10084,479443.3
base,react_moa_mcts,3,72,moa-map1,d2h_stage,,memcpy,memcpy,89458,10272,479544.6
base,react_moa_mcts,3,73,moa-map2,h2d_stage,,memcpy,memcpy,93489,11481,493118.1
base,react_moa_mcts,3,74,moa-map2,weight_init,,kernel,rng_init,5023,78025,493361.9
base,react_moa_mcts,3,75,moa-map2,weight_init,,kernel,elementwise_binary,2016,43555,493367.7
base,react_moa_mcts,3,76,moa-map2,mir_operator:RMSNormOp,6,kernel,copy,4320,8398,493410.2
base,react_moa_mcts,3,77,moa-map2,mir_operator:RMSNormOp,6,kernel,elementwise_unary,3103,6754,493431.4
base,react_moa_mcts,3,78,moa-map2,mir_operator:RMSNormOp,6,kernel,reduce,3520,6755,493453.0
base,react_moa_mcts,3,79,moa-map2,mir_operator:RMSNormOp,6,kernel,elementwise_binary,1056,6154,493469.6
base,react_moa_mcts,3,80,moa-map2,mir_operator:RMSNormOp,6,kernel,elementwise_unary,1120,6188,493486.6
base,react_moa_mcts,3,81,moa-map2,mir_operator:RMSNormOp,6,kernel,elementwise_binary,3967,6111,493504.7
base,react_moa_mcts,3,82,moa-map2,mir_operator:RMSNormOp,6,kernel,copy,2271,6386,493525.4
base,react_moa_mcts,3,83,moa-map2,mir_operator:AddOp,7,kernel,elementwise_binary,1983,8137,493637.9
base,react_moa_mcts,3,84,moa-map2,mir_operator:RMSNormOp,8,kernel,copy,4511,8366,493738.6
base,react_moa_mcts,3,85,moa-map2,mir_operator:RMSNormOp,8,kernel,elementwise_unary,3104,6316,493759.1
base,react_moa_mcts,3,86,moa-map2,mir_operator:RMSNormOp,8,kernel,reduce,3168,6480,493779.2
base,react_moa_mcts,3,87,moa-map2,mir_operator:RMSNormOp,8,kernel,elementwise_binary,1055,5807,493794.0
base,react_moa_mcts,3,88,moa-map2,mir_operator:RMSNormOp,8,kernel,elementwise_unary,1088,5795,493810.0
base,react_moa_mcts,3,89,moa-map2,mir_operator:RMSNormOp,8,kernel,elementwise_binary,3904,6151,493827.4
base,react_moa_mcts,3,90,moa-map2,mir_operator:RMSNormOp,8,kernel,copy,2240,5936,493846.2
base,react_moa_mcts,3,91,moa-map2,mir_operator:LinearOp,10,kernel,gemm,20157,9442,493969.5
base,react_moa_mcts,3,92,moa-map2,mir_operator:LinearOp,11,kernel,gemm,20124,8209,494075.2
base,react_moa_mcts,3,93,moa-map2,mir_operator:LinearOp,12,kernel,gemm,19932,7621,494174.4
base,react_moa_mcts,3,94,moa-map2,mir_operator:TransposeOp,14,kernel,copy,12382,9816,494364.5
